"Genus_family","Country","Taxa_code","Type_1","Type_2","Site_block","Site_no","Site_name","Group","Mode","Lowest_level","Tribe","FA1","FA2","FA3","FA4","FA5","FA6","FA7","FA8","FA9","FA10","FA11","FA12","FA13","FA14","FA15","FA16","FA17","FA18","FA19","FA20","FA21","FA22","FA23","FA24","FA25","FA26","FA27","FA28","FA29","FA30","FA31","FA32","FA33","FA34","FA35","FA36","FA37","Spider_body_size","chl_a_m2_day","Width","Riparian_PC1","Catchment_PC1","s1","s2","s3","s4","s5","s6","s7","cd1","cd2","cy1","cy2","cy3","dis1","dis2","dis3","dis4","life1","life2","life3","life4","fwl1","fwl2","fwl3","fwl4","fwl5","fwl6","fwl7","fwl8","wnb1","wnb2","wnb3","wnb4","wnb5","Body_Size"
"Agelenidae","BE","Agel","FBF","PAIR","KOU_PAIR","11","KOU_FBF","Arachnida","Web","Agelenidae",NA,0.00011575183971972,0.00019383608079207,0.00305255440520669,0.000105015831727167,0.00065767809330212,0.019492606155957,6.50348010336044e-05,0.000660385183674071,0.0491912086135598,0.366025171165567,0.000286942553235598,0.00185527088517353,0.00105193893132639,0.0849274916789256,0.309633567180691,0.141839745731033,0.00161514748530471,0.00201298937399649,0.000167177737562457,0.00118998812715243,0.00523543245915661,0.00126204054715398,0.00297221139569564,0.000159356931235037,0.000170359030468278,0.000348223873400002,0.001407018470887,0.000779704299806182,0.000119719268348346,1.38747752901441e-05,0.000713051670262554,0.000513738541925615,0.000321910826421676,0.000231344909052366,0.00012354361468001,0.000114182383023788,0.00137478514825091,5.77810239034783,0.0180555555555556,0.484,-0.364641013306189,0.593273083869429,0.18023538961039,0.558670634920635,1.44893398268398,2.2797582972583,1.33208152958153,0.0099025974025974,0,2.09908910533911,0.376875901875902,0.00492424242424242,0.802839105339105,2.84309523809524,1.88940656565657,0.879446248196248,1.83871212121212,0.727191558441558,2.04112718964204,0.0262757044935263,0.89044173648134,0.372277227722772,2.90867132135666,0.0755602625454355,0.0485342956512643,0.00567453779974373,0.00723045945451217,3.92249156664313e-05,0,0,0.929545454545454,2.02045454545455,0.0397727272727273,0.00227272727272727,0.00795454545454545,7.331
"Agelenidae","BE","Agel","FBF","PAIR","MOL_PAIR","3","MOL_FBF","Arachnida","Web","Agelenidae",NA,0.000263387056520992,0.000167301871519776,0.00814637589880813,0.000103153830923022,0.00215807557629321,0.06118226552258,3.18330443885401e-05,0.000432384916845207,0.00940982145821098,0.181009560532691,0.000460330712773136,0.00217513351068516,0.00188460800795325,0.168533496695083,0.317591038397573,0.204647627985027,0.00397501048150316,0.00523168252453973,0.000429116431185934,0.00276251949977841,0.00596609117794479,0.00191218646305363,0.00716661024913172,0.000645127685860267,0.000333623688270713,0.000689396710483472,0.00250660748313977,0.00236228701482556,0.000278891458051766,5.78321604020935e-05,0.00213732162012117,0.00173815103226377,0.000903505127457988,0.000575456973531977,0.000186110301772996,9.18008947523943e-05,0.00185427600405296,6.1014613637,0.0322222222222222,1.174,-0.117135282549782,0.739524569267872,0.468514486685647,1.22171514170342,1.74772511583766,1.70161800554532,0.772506931651129,0.0405013118963881,0,0.795465118442844,0.752228363013826,0.00273544353262993,0.363851206758592,2.91737844023893,1.68621020115745,0.585896648616461,0.533606877686596,0.269162061072964,0.78138443488463,0.0113414157215487,2.19644114196324,0.746812671098944,2.63209201206256,0.339610070832457,0.125008766393155,0.0332596956308296,0.0109229258713795,0.0001051967178624,0,0,2.20281359906213,0.792497069167644,0,0.00351699882766706,0.00117233294255569,7.331
"Agelenidae","BE","Agel","FBF","PAIR","MOZ_PAIR","10","MOZ_FBF","Arachnida","Web","Agelenidae",NA,0.000215602099640118,0.000403199064366468,0.0009941276886107,7.69259534220604e-05,0.00101821578159285,0.0120791657323682,9.78865251134382e-05,0.000731243746935051,0.0265845018226311,0.303618627179411,0.000444909858364491,0.00208174237556715,0.00367359717686981,0.0634213649866727,0.396047994519772,0.160826575375327,0.00116430993136296,0.00143852738194636,0.000304417387748847,0.00205723019636409,0.00584905999245883,0.00198582452286066,0.00390063103460527,0.00113864465233992,0.000229886598219774,0.000351750678885763,0.00230530817710609,0.00151420695404093,0.000250479033387553,4.3808966578202e-05,0.0014794653131833,0.00110116806351043,0.000644841057617572,0.000231480590559684,0.000105473901237499,5.05405484947112e-05,0.00153726513082707,4.74873998904167,0.0213888888888889,1.962,-0.068125085977757,0.819205392579396,0.0408884401817264,0.522684250378597,1.13204610466095,1.75011568231533,1.26395549385832,0.0574835941443715,0,1.79111980481238,1.60819451455494,0.179328621908127,1.24562510516574,1.75790846373885,2.27775323910483,1.42737253912166,0.499558303886926,0.696680969207471,1.17084078711986,0.147584973166369,0.826744186046512,1.51395348837209,2.10284265797574,0.36415897157342,0.423365924316495,0.350602027883397,0.240652724968314,0.00149375339489408,0.0190114068441065,0.0190114068441065,1.60600706713781,1.08657243816254,0.169611307420495,0.0318021201413428,0.106007067137809,7.331
"Agelenidae","BE","Agel","FBF","PAIR","ROO_PAIR","6","ROO_FBF","Arachnida","Web","Agelenidae",NA,0.000284537303770734,0.000234017752255147,0.00275654382894472,0.000201059730805038,0.000441690928002012,0.0157090111261845,7.48894286766117e-05,0.00139293227677634,0.0150789465869702,0.270376859579552,0.000702588278398595,0.00381554997319105,0.00143390753424899,0.0898552910800176,0.385419566497227,0.172194932210603,0.00205228811766544,0.00271510426116152,0.000170085063547189,0.00135334487768201,0.00623363621931051,0.00152629073387327,0.00706876333567458,0.000337293631835809,0.00018182995370167,0.000523150375183441,0.00241879422306012,0.00213206072316652,0.000323846845172439,1.01390818940971e-05,0.00510947011517562,0.0035802241145649,0.00129010493763527,0.000375683228700302,0.000161874312977981,0.000109640135782695,0.00235405159661173,4.90689646455556,0.0793055555555556,0.332,-0.713317849716048,0.888351554276203,0.0117554858934169,0.0348186296462158,0.0521719659650695,1.99988804299149,1.93763994626064,0.00246305418719212,0,1.02149574563368,2.9153605015674,0.0317957904164801,0.0922525750111957,2.92969099865652,2.92801164352888,1.95073891625616,0.0212718316166592,0.0353784146887595,0.046229802513465,0.0314183123877917,1.03052064631957,2.8770197486535,0.375,0.480769230769231,2.41346153846154,0.668269230769231,0.0528846153846154,0,0,0,2.92342140618003,0.0147783251231527,0.00671742051052396,0.00671742051052396,0.0483654276757725,7.331
"Agelenidae","BE","Agel","FBF","PAIR","VAA_PAIR","15","VAA_FBF","Arachnida","Web","Agelenidae",NA,0.000440161152893556,0.000394220864193279,0.00147690220893908,6.70627699588683e-05,0.00123455224246386,0.0585281225967185,2.21736219027928e-05,0.000617319788314205,0.0081518805395941,0.352230866445406,0.000473810631651723,0.00328250284344157,0.00223405615090896,0.10066229260116,0.215181594442526,0.206749497503324,0.00348964696954478,0.00492603792111392,0.000154246353488308,0.00257556001509865,0.00837761548228973,0.00226503120541978,0.0097647539857123,0.000531847456015708,0.000505454743763266,0.00099931029904135,0.0023392875002642,0.00271866350399093,0.000242260114163378,0.000135728552696932,0.00188313559900477,0.00214921648610342,0.000861896660810299,0.000419501445331733,0.000422886442581125,0.000248768184697015,0.00324213467547251,5.01596963323529,0.03875,0.734,-0.696888484202404,1.11125719815317,0.139915044740782,0.352007242087671,0.948313081020857,2.11498555064239,0.181696319766025,0.00121862052156958,0,1.98635145015842,1.34340726297831,0.0165732390933463,0.849622227638313,2.76175968803315,2.6135232060165,0.15956965286724,0.0426517182549354,0.0272970996831587,0.0426621160409556,0.00731350560702097,2.91272549975622,0.31496830814237,1.90909090909091,1.09090909090909,0.378787878787879,0,0.0151515151515152,0,0,0,2.95174262734584,0.0314404094564952,0.0168169631976603,0,0,7.331
"Agelenidae","BE","Agel","FBF","PAIR","WUR_PAIR","7","WUR_FBF","Arachnida","Web","Agelenidae",NA,5.82870660510547e-05,0.000260785751843477,0.000691388278518257,7.36846881991257e-05,0.000477391423981996,0.0147494427392647,1.25557458665725e-05,0.000480004377923445,0.0128330884197713,0.263806357596312,0.000342204803426558,0.00199979657673677,0.00147610902785342,0.13429007962895,0.364835780920751,0.173737280365011,0.00236817552223463,0.00279485927013658,0.000148982456832627,0.00130675752841666,0.00503260324428046,0.00161958128079128,0.005446659691628,0.000401835916410016,0.000141066213930007,0.000525988936366456,0.00198243209927843,0.00170590995267749,0.000177632649509348,9.82313507219019e-06,0.00187904773944208,0.00134158866713833,0.000660821834094683,0.000354126908666517,0.000104237058047373,8.26273555588381e-05,0.00179100512902698,5.36237559261905,0.0577777777777778,1.336,-0.0334083783091067,1.04202957972587,0.0133440374934907,0.0703364577908928,0.110238384539721,1.67138951570908,2.03447752126367,0.143681652490887,0,1.35176184690158,2.44714459295261,0.00425273390036452,0.543134872417983,2.77541514783313,2.78530203089741,1.79676560782272,0.037363304981774,0.239975698663426,0.505481120584653,0.0237515225334957,0.880024360535932,2.40194884287454,0.379251700680272,2.48979591836735,1.01530612244898,0.0450680272108843,0.00425170068027211,0,0,0,2.42952612393682,0.490279465370595,0.020048602673147,0.0364520048602673,0.0236938031591738,7.331
"Agelenidae","BE","Agel","FOR","FOR","SAS_LDS","33","SAS_FOR","Arachnida","Web","Agelenidae",NA,0.000260086880340149,0.000463742780119015,0.000694408938928934,0.00013461530057235,0.000755436589092383,0.00837935537485068,3.34380899372552e-05,0.000869537296206293,0.00346784238927779,0.246086688980715,0.000978277773192214,0.00772588698894262,0.00208759451150488,0.159329868114148,0.235412180672361,0.265438048891933,0.00958256810265422,0.0071157363668924,0.000325889934765647,0.00598695719392644,0.0115554325011517,0.00169942971420582,0.00932341392705393,0.000503124929536705,0.000621927442412216,0.00165748105624825,0.00266511092706559,0.00443796159490341,0.000679033509045469,0.000146039395018807,0.00223845947128886,0.00217609781641636,0.00157406519984757,0.000414385769811994,0.000458302749190606,0.00137336639406471,0.0033482064323783,5.18152608213333,NA,1.175512,0.186537926402712,-0.353211206666332,0.214285714285714,0.956270717115368,2.06554996361873,1.45967842994583,0.666067386207454,0.0991541353383459,0,1.91484356051419,0.471242622685747,0.00169779286926995,1.01371169860134,2.43659956342469,1.81890108335354,0.856132266149244,0.981833616298812,0.701067184089255,1.80748663101604,0.0053475935828877,1.11881255998903,0.460989990401755,2.65896358543417,0.325471097529921,0.186744015788133,0.0138146167557932,0.0777629233511587,0.00145626432391138,0,0,1.0848896434635,1.81833616298812,0.0509337860780985,0.0458404074702886,0,7.331
"Agelenidae","BE","Agel","FOR","FOR","DOR_LDS","1","DOR_LDS","Arachnida","Web","Agelenidae",NA,0.000100123519606843,5.34279486021423e-05,0.00155819255867505,3.55061017042112e-05,0.000394130168193871,0.0531398380705211,3.7348924895975e-05,0.000703263773421651,0.0178785013578842,0.23893026654719,0.000445568300121196,0.00237027623084357,0.00168465583761078,0.124276418287229,0.336962775470301,0.18340654636479,0.00342519535686889,0.00453186094352778,0.000211005841646831,0.00266528210899666,0.00674684023220841,0.00155214223370733,0.00486482124860973,0.000174435932014951,0.000253389484300786,0.000457499399510577,0.00212232400888637,0.00190264970149069,0.000151097580883392,1.45995391473626e-05,0.00349553425610908,0.0021027194393831,0.000831312332191818,0.000282975109905329,0.000193500750128315,0.000123867645333306,0.00192010739355807,5.46164147966667,0.0298611111111111,0.966,-0.145447286155679,0.534764262454003,0.0149957955713351,0.0860895699025195,0.153196922981096,1.94373072970195,1.88113145846959,0.00425114453891432,0,1.06278613472858,2.81164159581426,0.00981033355134074,0.198168737737083,2.85567909308916,2.86165093898907,1.92453829144477,0.0428384565075213,0.169391759319817,0.106675392670157,0.0418848167539267,1.05497382198953,2.75523560209424,0.955,1.43,1.185,0.2325,0.0325,0,0.04,0.04,2.79594506213211,0.0255068672334859,0.0804447351209941,0.0451275343361674,0.05297580117724,7.331
"Agelenidae","BE","Agel","FOR","FOR","ROO_LDS","34","ROO_LDS","Arachnida","Web","Agelenidae",NA,0.000118669729861156,0.000157359297115184,0.000497810621855594,8.3457364687651e-05,0.000261910393252998,0.00423593128312226,2.50969494113878e-05,0.000366088344694058,0.00602336814033827,0.359482257792094,0.000270020792388923,0.00195597556989629,0.00111685863076339,0.11467934457528,0.206280303895703,0.281209234649538,0.00181652117603435,0.00175348914137291,0.000158975241679161,0.00191492499213463,0.00498099405932654,0.00112823484536651,0.0046048769348816,0.000140680478251843,0.000177150583641746,0.000259297952543566,0.0011489061788814,0.00128074778368482,0.000206166832112599,4.81294473033699e-05,0.000631072287895897,0.000489980467792338,0.000385352748416869,9.66413765526139e-05,0.000280709300580361,0.000311767558147092,0.00142169258339679,4.94957660443478,NA,0.694,0.0664173608971592,0.310992044539712,0.521915167095116,1.37300771208226,1.94151670951157,1.56838046272493,0.522493573264782,0.00154241645244216,0,0.540616966580977,0.847043701799486,0,0.211053984575835,2.99717223650386,1.69511568123393,0.578663239074551,0.269665809768638,0.240616966580977,0.527642067369504,0,2.44818719465158,0.847261506814091,2.45401459854015,0.547445255474453,0.181021897810219,0,0,0,0,0,2.47095115681234,0.432647814910026,0.0956298200514139,0.00077120822622108,0,7.331
"Agelenidae","BE","Agel","FOR","FOR","VAA_LDS","4","VAA_LDS","Arachnida","Web","Agelenidae",NA,6.68131551779474e-05,6.98429598365973e-05,0.00217312937086217,5.99220875503618e-05,0.00128381071410138,0.0155107733211092,5.23962855587196e-05,0.000654053802654771,0.025112870142454,0.272916030648488,0.000362509593766519,0.00267996804591162,0.00147508988503761,0.0849173287672932,0.372775154583499,0.188379366937808,0.00199953614887638,0.00333893154119628,0.00027325200547167,0.00171451756902489,0.00694604990140365,0.00150332545230082,0.00486979999893857,0.000301375167875,0.000217872357223516,0.000415228584833684,0.00186305104560446,0.00148828401907938,0.000216297089157891,2.93975429799921e-05,0.00167445477634657,0.00137477846688213,0.000667641231645213,0.000407056607106215,0.000118501228647789,0.000110649229911637,0.00198093973438469,4.6711864718,0.0316666666666667,0.465,-0.259211719931611,0.816133319633766,0.058817594834544,0.382633844498251,0.281656353690252,1.75394583445431,1.72441933458883,0.0229127432517263,0,1.18549905838041,2.62366603892028,0.00282485875706215,0.329880728185813,2.79692404268675,2.77183660658237,1.82750425970765,0.180790960451977,0.204017576898933,0.141506460762685,0.0154427986132997,1.13614875512134,2.62653640088245,1.43684210526316,1.30526315789474,0.831578947368421,0.113157894736842,0.0447368421052632,0,0,0,2.69962335216572,0.141242937853107,0.0131826741996234,0.127118644067797,0.0188323917137476,7.331
