"Site","Country","Site_identifier","Site_code_2","Site_name","Type_1","Type_2","Site_block","s3","cd1","cy2","dis3","dis4","life1","life2","wnb2","wnb3","wnb5"
6,"SE","SE_DAL_FOR","C0355","DAL","FOR","FOR","DAL_FOR",2.16894327452096,2.83371276797572,1.97894137734775,2.39741035856574,1.17634225004743,0.927855711422846,2.37875751503006,2.50996015936255,0,0.49003984063745
7,"SE","SE_GRA_FOR","C0356","GRA","FOR","FOR","GRA_FOR",2.39740655987796,2.720823798627,1.96338672768879,1.84897025171625,1.29519450800915,1.02288329519451,1.73226544622426,2.16247139588101,0,0.837528604118993
8,"SE","SE_LAF_FOR","C0357","LAF","FOR","FOR","LAF_FOR",2.00586080586081,2.55311355311355,2.56373626373626,1.15384615384615,1.57619047619048,1.67692307692308,0.457692307692308,1.61538461538462,0.0923076923076923,0.923076923076923
9,"SE","SE_FIB_FOR","C0358","FIB","FOR","FOR","FIB_FOR",1.96219931271478,2.76632302405498,2.12714776632302,1.97250859106529,1.35395189003436,0.93127147766323,2.04982817869416,2.14432989690722,0.0103092783505155,0.814432989690722
10,"SE","SE_OVE_FOR","C0359","OVE","FOR","FOR","OVE_FOR",2.30880626223092,2.33502935420744,2.29080234833659,1.46986301369863,1.50215264187867,0.735537190082645,1.32920110192837,1.5041095890411,0,0.863013698630137
11,"SE","SE_ORS_PAIR_UBF","C0360","ORS","UBF","PAIR","ORS_PAIR",1.71975255358941,2.38397352898863,2.29823047043591,1.56495468277946,1.62566537188894,0.818731117824773,1.54078549848943,1.50453172205438,0.244712990936556,0.471299093655589
12,"SE","SE_ORS_PAIR_FBF","C0361","ORS","FBF","PAIR","ORS_PAIR",1.68530653851755,2.07921945536624,2.35867190913062,1.16207951070336,1.666375418669,0.809230769230769,1.07461538461538,1.21100917431193,0.119266055045872,0.36697247706422
13,"SE","SE_TEM_PAIR_UBF","C0362","TEM","UBF","PAIR","TEM_PAIR",2.11207311207311,2.42111592111592,2.12938912938913,0.757575757575758,1.73617123617124,1.03092783505155,0.360824742268041,1.18181818181818,0,1.78787878787879
14,"SE","SE_TEM_PAIR_FBF","C0363","TEM","FBF","PAIR","TEM_PAIR",1.96701388888889,2.63541666666667,1.79166666666667,1.28645833333333,1.484375,1.8586387434555,0.408376963350785,2,0,0.734375
15,"SE","SE_JUM_PAIR_UBF","C0364","JUM","UBF","PAIR","JUM_PAIR",1.85014005602241,2.5828664799253,1.92787114845938,1.52450980392157,1.48482726423903,1.84803921568627,0.844362745098039,1.94117647058824,0.191176470588235,0.5
