"Site_no","Country","Taxa_code","Type_1","Type_2","Site_block","Site_name","Group","Genus_family","Mode","Lowest_level","FA1","FA2","FA3","FA4","FA5","FA6","FA7","FA8","FA9","FA10","FA11","FA12","FA13","FA14","FA15","FA16","FA17","FA18","FA19","FA20","FA21","FA22","FA23","FA24","FA25","FA26","FA27","FA28","FA29","FA30","FA31","FA32","FA33","FA34","FA35","FA36","FA37","EPA_perc","DHA_perc","LNA_perc","ALA_perc","Spider_body_size","chl_a_m2_day","Width","Riparian_PC1","Catchment_PC1","s3","cd1","cy2","dis3","dis4","life1","life2","wnb2","wnb3","wnb5","EPA_ALA_ratio","Lycosidae"
1,"BE","Lyco","FOR","FOR","DOR_LDS","DOR_LDS","Arachnida","Lycosidae","Ground","Lycosidae",-12.7899264350728,-12.4236267696233,-12.2062640979369,-13.538960313852,-13.7400694705048,-7.7317603941634,-13.9316194714494,-12.5204542880964,-11.3876065592664,-6.23343296985,-12.5546320803806,-9.96918464822831,-10.4467107500014,-6.92319293814268,-6.04676050800974,-5.63463930151333,-9.5688397791287,-9.20638398067169,-12.5488131182867,-9.86198434431724,-9.76668269013364,-10.9951526551788,-9.13167854896599,-12.3116352749064,-12.6260017193728,-12.4832185149545,-10.6280322108664,-10.6768363781841,-12.7236946246088,-14.9905839985196,-10.4804790093212,-10.3141660937351,-11.5537288624115,-12.6932842349657,-12.7859105427242,-12.8864607565172,-10.1094484397387,-1.50111041481453,-0.916048750121554,-0.346498381925351,-0.558175982382899,0.149372583493521,-1.36927196882801,-1.35736793494172,-0.239231716581272,1.27498225729553,-2.45825479084059,-1.65093683096188,-2.76336417512135,-1.87289187513979,-1.88047378502249,-1.86983446859674,-1.40331366514663,-1.59949842263751,-0.777010935795954,-1.30989207641434,-0.794645578262172,-0.295630066050594
1,"NO","Lyco","FOR","FOR","AKE_FOR","AKE_FOR","Arachnida","Lycosidae","Ground","Lycosidae",-13.3677795707008,-11.6624827752156,-12.5012281271939,-14.3464189214199,-12.9158910586429,-9.37420203873337,-14.9214723183343,-11.2156522003917,-9.93051915390916,-6.07503153628147,-12.1628849551443,-9.61464560103127,-10.6826591614694,-6.93640530594355,-5.56251998504361,-6.36384109773218,-8.69962315241232,-8.35260498964277,-12.1388250426238,-9.28901040451744,-9.12191143263678,-11.4016450792759,-9.51220788073638,-12.0130916203605,-11.0805062604934,-10.9621246346477,-10.7584892335736,-9.69886317435509,-11.8805008072458,-14.6665846649967,-10.3393020629641,-10.2945001940585,-11.251414644298,-12.9102989281144,-14.8029454926169,-12.046800937745,-10.7987234874116,-0.0501829905972529,-0.614773025369837,-0.383532788031909,-0.957301456440905,1.1628284954469,-0.808635702471867,1.70238952346071,1.19076900951155,-2.51945407323783,0.752185306792477,0.60350775019759,0.649636272858295,0.382960458978904,0.678997327125467,0.454016363970017,0.905376646591696,0.375716296219374,0.292526052965003,1.43251277738093,0.762222076843533,-0.179894769240446
1,"RO","Lyco","FOR","FOR","ARG_FOR","ARG_FOR","Arachnida","Lycosidae","Ground","Lycosidae",-12.8541581077572,-12.304809832981,-11.977505115048,-12.5898214098181,-12.3286181599796,-10.028967983569,-14.6501398318398,-11.7341401452232,-11.7123084062004,-6.88062134893812,-13.3308875075098,-8.56214714157544,-10.0522913686669,-6.7748938843087,-5.40891686810256,-6.16199590773744,-8.40294860575722,-7.73429720087527,-12.0315787743684,-10.0889148684143,-9.21218858651049,-12.2098208655198,-10.45532220592,-11.8124953821717,-12.8922934985489,-12.6831338711773,-10.9584270337816,-10.841049461683,-13.5753961999493,-14.8241562560255,-11.3425113647667,-11.3118791096717,-12.553193676187,-12.1125472867758,-12.4714889579575,-12.7172937341597,-10.7929681307304,1.01863667181326,-0.412311535754705,0.0730236144299624,0.10966098888458,0.800322010282773,1.11386236885749,0.216552435016192,0.0468718036945358,-0.135693571782713,0.416105405987076,0.619129988265801,0.963730956479015,-0.225191687308002,1.314575136563,0.359919004262053,0.968615613903324,-1.19643064560881,1.70794457582366,1.43602137585778,0.744730569478575,3.1103441165685
10,"RO","Lyco","FBF","PAIR","BRI_PAIR","BRI_FBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.1489117028936,-12.1291117785794,-12.2074560464584,-12.7988304194614,-10.9073312528931,-9.70331945204705,-13.8429677954361,-12.1889530014161,-10.5420137698642,-6.62104162971703,-12.6308107107128,-8.68603796243879,-10.3053533921809,-6.33002086526017,-5.44015093368404,-6.41829283674152,-8.90838750137255,-8.25637849072367,-12.8404263420697,-10.2660428505614,-9.78559363970805,-12.023992378257,-10.5076252802655,-12.6792086863265,-13.31228866709,-12.1984154085257,-11.2711693534312,-11.2290974414448,-12.8487206511625,-14.7405440911016,-12.4264317955777,-11.9406357711062,-12.7581420335544,-12.1579518943876,-13.0588021597133,-12.4114525341554,-10.7898095727733,0.114819449334234,-1.28693165077771,1.3868498505305,-0.318932340793867,0.441458341398814,0.167243976631072,0.481396401068761,-0.750611511681585,-0.273826705210914,0.932916685871957,0.797402835284981,0.445050282805474,0.383857120139762,1.20013367779766,0.932810422127907,-0.171724671832003,-0.0144915586982685,1.8060747501988,-0.0911868031537628,0.360579663558636,-0.295630066050594
10,"SE","Lyco","FOR","FOR","OVE_FOR","OVE_FOR","Arachnida","Lycosidae","Ground","Lycosidae",-12.7467584241383,-12.426620961549,-11.8890957030814,-13.681888171812,-12.0754911448766,-9.32956201370687,-14.7792965859508,-12.1756253211174,-9.71690903302182,-6.45976894452598,-12.6725382690005,-9.27326545489533,-8.40170430911702,-6.38195907555043,-5.61333138208535,-6.53677588349727,-8.81061430318304,-8.26947103730772,-9.49288854202942,-9.24459785629814,-8.53982165898352,-10.4184558419008,-9.78927928858461,-11.9971937288862,-12.0206535470217,-11.7721838357718,-10.1784355236741,-11.1940439380833,-12.0838733415207,-14.2804368565779,-9.46953471276225,-10.7131313722694,-11.2956150406078,-11.1838007552531,-13.4039344277263,-9.40040166739335,-10.701913403786,0.0923455449011267,-0.598728264581475,1.22806673877578,2.92531634982458,-0.784811169724338,-0.691371850747207,-1.07102870156824,1.58185284474725,-0.709750013081345,0.487535794744859,0.0326985431773455,0.835217515096459,0.717808518371822,0.209978918111943,-0.824302704553955,1.42294336314008,0.480284345506801,-1.00557792288989,0.699741447472495,-2.37790136929564,-0.702452488507836
11,"RO","Lyco","UBF","PAIR","BRA_PAIR","BRA_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.1159370666531,-11.9489077170269,-11.3811754806711,-12.9950336049772,-11.8842979557687,-10.3801416767368,-13.5627976826405,-11.9707004245759,-10.8339767168561,-6.70458180704477,-11.6337825610553,-8.15163519875515,-9.89853035043812,-6.85137356606747,-5.58943176884017,-6.0510041487379,-8.33486429109928,-7.38485240895366,-12.0806736782702,-10.3034531642696,-8.88327609523272,-12.1440441192188,-10.5828677105347,-10.9849000690672,-12.9879996150742,-12.6442884191265,-11.1517989264885,-11.4235179476356,-12.1339128366254,-14.0602576457735,-10.7440551366181,-11.2663006464463,-11.7031131046838,-12.1067395029634,-12.9224990861259,-11.96855917488,-10.4675844735764,1.63514236027434,0.423378087875462,-0.144240226272229,0.370295568009714,0.921881067732842,0.885347221886439,0.57511197137791,-1.55683707094058,-0.313295078507754,0.977826752056645,0.874574023949748,0.0186296501704767,0.326879380398168,0.782708044944894,1.04501260758346,-0.303620878680477,0.865383722941509,0.892427113242464,-0.197649133045529,1.02408448353243,2.2707034808609
11,"SE","Lyco","UBF","PAIR","ORS_PAIR","ORS_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-11.008197774351,-11.8535234684933,-10.3197561344186,-12.8569061240419,-12.1532540189709,-7.81141128398734,-13.9334446008505,-10.9531507724271,-8.88546819700272,-6.08726699036473,-12.2104664917133,-9.26333662711485,-9.9459387050395,-6.71570736038178,-5.87144290231625,-6.34020261911592,-8.73184059646112,-8.34530433873696,-11.6210215624183,-8.88555028259344,-9.32318444910973,-10.7344853219163,-9.56402925691376,-10.3296989313654,-11.2562780338844,-11.3941271537742,-9.66183496563386,-10.138959706687,-11.2988917032182,-13.5892725392592,-9.70858163275756,-9.93735466176907,-10.940873356232,-11.7144568148123,-12.7072148178983,-9.04580707280179,-10.7870811394231,-0.0376781282491869,1.08580287544242,0.242612340203096,0.289915447311841,-1.90662128467311,0.584124853701191,1.07201693762683,0.610359804390459,0.208652658099233,-0.314750727023147,0.0591205287276455,0.563704614135664,0.519448185345469,0.0948506903451232,-0.776147098106313,1.51463132415755,0.275098749960466,-0.511060854632847,-0.133610677041983,-0.279984747462003,-0.69596174969351
12,"RO","Lyco","FBF","PAIR","BRA_PAIR","BRA_FBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.555247376422,-12.1903114191543,-12.225406751853,-12.4932284298934,-13.0595356124959,-10.8741733320755,-14.1249430711273,-11.8277108881479,-11.0157166692974,-6.57229936810896,-11.8550042761221,-8.13998965301485,-10.0023267294236,-7.01345825691497,-5.47813760708868,-6.26187698720069,-8.13059004122151,-7.4061895399071,-12.3209705023554,-9.87765443276029,-9.02939873821753,-12.1745789827817,-10.6431073129781,-10.8345355012067,-12.3602423232995,-12.8793449146312,-11.3879954060542,-11.4733864518496,-12.2678523533726,-14.2519040473916,-11.0092150732488,-12.1276316789989,-12.0184367720096,-12.0576102646021,-12.8180513834259,-11.7150984056199,-10.4256901175131,1.59714148384261,0.575315150874578,-0.59850219098136,0.194334020862062,0.318585906102411,0.0367300809867306,1.20278426466838,-0.778404634692139,-0.285567254584189,0.635665355938247,0.886684873719636,0.401185635613873,0.633934093030107,1.03594961842335,0.905433461399276,0.0777453850524572,0.338896826971567,1.25746613830811,0.32539598789588,1.14191897801975,0.247153542514261
12,"SE","Lyco","FBF","PAIR","ORS_PAIR","ORS_FBF","Arachnida","Lycosidae","Ground","Lycosidae",-13.0283338401213,-12.5449297067519,-12.2005877830528,-13.1545458261125,-12.5267369656713,-9.11839183101631,-14.5471568289815,-11.2151878938021,-8.91438268027707,-6.06336068929371,-11.8493261317949,-8.815807846832,-9.72185510189365,-6.73921572337369,-5.78655621382619,-6.54815859242985,-8.41595174174091,-8.01671259279706,-11.6729426353726,-8.95719314304937,-9.21724951303166,-10.6020525643752,-9.18416728043301,-9.74727562136065,-11.1138655529905,-11.2876129152402,-9.58907203413793,-10.2646106214395,-11.7472974964603,-13.7714607746286,-8.95802486979189,-9.76864950857495,-10.2380882508362,-10.7187425820113,-12.5672456334383,-8.99387967774416,-10.3416750343543,0.527704421407028,1.67583945103357,0.175094383876183,0.670021167671399,-1.39455752744771,0.549595755916127,1.78340056631187,0.875413421358298,0.0984876366477682,-0.318842106137062,-0.428351656999242,0.608304621059408,0.0540580052254965,0.11179909735689,-0.807103120820089,0.961998084671771,-0.0236736389027784,-0.757758070069564,-0.348375974433505,-0.130771843060472,-0.671307479331135
13,"NO","Lyco","FOR","FOR","FRO_FOR","FRO_FOR2","Arachnida","Lycosidae","Ground","Lycosidae",-12.9086408465216,-11.6790959027733,-11.8663346168351,-13.8137846479154,-12.6706879140875,-9.61077405310842,-14.7750415717289,-11.4494100296886,-9.42179347912736,-6.13424549154847,-12.0227474798514,-8.79741781782379,-10.2108387106481,-6.91548240436572,-5.74000086959189,-6.13647257956188,-8.56214133329329,-7.88484504035552,-12.0149569670898,-9.79074650401549,-9.29555354452281,-11.5963757455884,-10.1009202792355,-11.7253656704626,-12.1598607971965,-11.7551717348304,-11.0062684680326,-10.4640487847824,-12.7680009725004,-13.2420034613567,-9.19018729923869,-9.09105565894478,-11.128242450204,-11.837857312664,-14.7257111453609,-12.3129516172466,-10.6059144827039,0.756260825354986,-0.324362684320985,-0.324861289492425,-0.158906909059799,NA,-1.3906811873205,-0.109560878424807,0.945782859603919,-1.11511732383166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756239072640047,-0.568941309520437
