Genus_family,Country,Taxa_code,Type_1,Type_2,Site_block,Site_no,Site_name,Group,Mode,Lowest_level,Tribe,Ratio_DHA_LNA,Ratio_EPA_LNA,Ratio_EPA_ALA,EPA_perc,DHA_perc,LNA_perc,ALA_perc,chl_a_m2_day,Riparian_PC1,Catchment_PC1
Agelenidae,BE,Agel,FBF,PAIR,KOU_PAIR,11,KOU_FBF,Arachnida,Web,Agelenidae,NA,0.001876388,0.023702447,1.913599083,0.201298937,0.015935693,8.492749168,0.105193893,0.018055556,-0.364641013,0.262723576
Agelenidae,BE,Agel,FBF,PAIR,MOL_PAIR,3,MOL_FBF,Arachnida,Web,Agelenidae,NA,0.00382789,0.03104239,2.776005675,0.523168252,0.064512769,16.85334967,0.188460801,0.032222222,-0.117135283,0.423125486
Agelenidae,BE,Agel,FBF,PAIR,MOZ_PAIR,10,MOZ_FBF,Arachnida,Web,Agelenidae,NA,0.017953645,0.022682063,0.391585499,0.143852738,0.113864465,6.342136499,0.367359718,0.021388889,-0.068125086,0.538674046
Agelenidae,BE,Agel,FBF,PAIR,ROO_PAIR,6,ROO_FBF,Arachnida,Web,Agelenidae,NA,0.003753743,0.030216409,1.893500241,0.271510426,0.033729363,8.985529108,0.143390753,0.079305556,-0.71331785,0.582623807
Agelenidae,BE,Agel,FBF,PAIR,VAA_PAIR,15,VAA_FBF,Arachnida,Web,Agelenidae,NA,0.005283482,0.048936278,2.204974982,0.492603792,0.053184746,10.06622926,0.223405615,0.03875,-0.696888484,0.768169866
Agelenidae,BE,Agel,FBF,PAIR,WUR_PAIR,7,WUR_FBF,Arachnida,Web,Agelenidae,NA,0.002992298,0.020812105,1.893396231,0.279485927,0.040183592,13.42900796,0.147610903,0.057777778,-0.033408378,0.715621529
Agelenidae,BE,Agel,FOR,FOR,SAS_LDS,33,SAS_FOR,Arachnida,Web,Agelenidae,NA,0.003157757,0.044660405,3.408581661,0.711573637,0.050312493,15.93298681,0.208759451,NA,0.186537926,-0.503234265
Agelenidae,BE,Agel,FOR,FOR,DOR_LDS,1,DOR_LDS,Arachnida,Web,Agelenidae,NA,0.001403612,0.036465976,2.690081168,0.453186094,0.017443593,12.42764183,0.168465584,0.029861111,-0.145447286,0.309111316
Agelenidae,BE,Agel,FOR,FOR,ROO_LDS,34,ROO_LDS,Arachnida,Web,Agelenidae,NA,0.001226729,0.015290366,1.570018884,0.175348914,0.014068048,11.46793446,0.111685863,NA,0.066417361,0.039459813
Agelenidae,BE,Agel,FOR,FOR,VAA_LDS,4,VAA_LDS,Arachnida,Web,Agelenidae,NA,0.003549042,0.03931979,2.263544463,0.333893154,0.030137517,8.491732877,0.147508989,0.031666667,-0.25921172,0.542406187
Agelenidae,BE,Agel,UBF,PAIR,KOU_PAIR,32,KOU_UBF,Arachnida,Web,Agelenidae,NA,0.00243305,0.023502549,2.235153886,0.290846958,0.03010929,12.3751241,0.130123908,0.012222222,-0.875981994,0.956547
Agelenidae,BE,Agel,UBF,PAIR,MOL_PAIR,24,MOL_UBF,Arachnida,Web,Agelenidae,NA,0.005797153,0.037560398,2.326885817,0.443284367,0.068417467,11.80190801,0.190505423,0.023194444,-0.898796159,0.479865666
Agelenidae,BE,Agel,UBF,PAIR,MOZ_PAIR,31,MOZ_UBF,Arachnida,Web,Agelenidae,NA,0.007521868,0.028135315,1.537136982,0.220388728,0.058920077,7.833170732,0.143376115,0.443333333,-0.789196634,0.544535481
